女 听过别人最多的议论就是干啥啥不行不长心眼没有脑子;这样的议论是针对谁呢？
女 ─=≡Σ((( つ•̀Ω•́)つ 有喜欢看动漫的吗？;在这里想解决什么问题呢？
女 有男的么，聊会天。。。。。。。。。。。。;我
男 精力不集中，，，，，，，，，，，，，，，;帖子都不会发
女 有人在吗，聊会。。。。。。。。。。。。。;聊什么
男 刚刚学会互联网，希望眼睛还好，，，，，，;刚刚看完您所有的描述，可以适度，比如每次的上网时间有个合理的规划
女 新冠肺炎病毒让人明白的人生真理。有图解释;刚刚看完您所有的描述，的确是很经典的解读。
男 既学习互联网又遵守规则又不落伍，，，，，;"刚刚看完您所有的描述，很好！做到与时俱进，又会了解诸多规则！

这样持之以恒，定会成为自己照顾成为的自己！加油！"
女 抑郁症单子大概解读，18岁，看不懂那个单子;欢迎购买心理测评为您解读
女 我整宿整宿睡不着经常头疼不知道自己怎么了;你是因为什么事情吗
男 没有抑郁症的特征，就是想死不知道为什么。;对不起，我还没有支付的能力，但是其实想问您这个问题
男 走路的时候，陌生人摸头发给我看，感到恐惧;怎样克服？
放不下女朋友的过去，又不想放手，我该怎么办;都是过去了
女 你别装本来在乎了，我眼里的难过快溢出来了;闹矛盾了
老婆与异性经常聊天是否正常？聊天语气很轻浮？;多长时间了，亲
女 想做的做不成，现在做的没意思饭啊做什么呢;可以具体说说[微笑]
女 舍曲林突然加大了药量会死么，大概加了3，4倍;刚刚看完您有的描述，最好及时去咨询精神科医生
女 如果给不了一个人幸福和快乐是不是该放手了;请问发生了什么事？
女,现在还有没有没休息的老师？想简单做点咨询;你遇到什么问题？
睡觉时身体动不了意识很清醒，这是什么问题？;这个问题我不知道，有请下一位专家
女 我暗恋了一个男孩，可是不知道怎样接触他？;给他一些暗示吧，赞美欣赏
女,爱上一个不该爱的人，想忘又忘不了，怎么办;先接纳暂时的忘不了，然后渐渐从中抽离出来
女 睡不着，老是想东想西，待在房间里有种恐惧;感觉好烦躁
男 我需要著名的心里故事,可以提供的话,,我付费;著名心理故事？什么意思？
女 闲着没事干，脑袋空空的，是病么，怎么改正;如果这种状况让你很痛苦，自己又无法调整超过一个月，应该是一种心理问题，建议尽快心理咨询分析调整
女 想问问这是有抑郁症了吗？如果有了该怎么办;"刚刚看完您所有的描述，scl～90这个测试有两个因子分，一个是阴性因子，另一个是阳性因子，只要关注下有症状的阳性因子分就好。

那么所有＞＝2分的都属于阳性因子分。（上限分值是5，也就是最高5分是说明症状最严重。）

不过，通常测试无法做诊断，仅供参考，更多的需要根据您生活中近期的状态相结合去做评估。"
女 从小到大脾气一直不好，如何让脾气好起来。;容易冲动，情绪化，失控。
男 价值观的形成，，，，，，，，，，，，，，;清心[微笑]
女 如何治愈恐惧症和焦虑症？极度没有安全感！;寻找河北省沧州市资深心理医生
男 郁闷，，，，，，，，，，，，，，，，，，;困死了
女 防备心很重，情感麻木的人。。。。。。。。;通过描述了解到你说的这个是防备心很重，通常这与成长经历有关，由于安全感的缺失而引起的。
女 如果改变不了老公，是不是只能改变我自己呀;为什么要改变你自己
女 我能做的只剩下止损了！可怕。。。悔不当初;每一步都是新生，过去经历的一切，所有的体验都是丰富的宝藏，在于如何认识过去。
女 说来话长可以帮助我吗我真的有事想问问你们;好
女 女14强迫症和抑郁症有关系吗 强迫症怎么治疗;能回答一下嘛
男 我感觉自己抑郁了，最近很烦，看什么都生气.;持续多长时间了
女 男朋友母亲老喜欢翻我包包，我该怎么给她说;要懂得保持界限和隐私。
男 有没有老师亲爱的老师帮我解决下性方面问题;老师你好
女 青少年…自卑心理。。。。。。。。。。。。;搞得我都不理解什么叫自卑了
男 经常性冲动，控制不了自己的欲望该怎么办？;那就五个打一个弄出来
女 浑身乏力，心情不好，经常心烦。。。。。。;请问您今年多大？这种状况有多久了？
男 我好像活下来了，，，，，，，，，，，，，;可喜可贺！
女 心情忧郁 总在晚上崩溃 因为一点小事大发脾气;多大了
男 烦躁情绪心理压力大天天烦失眠恐惧身体伤呢;发生了什么事情吗？
女 对这个App失望了极度差评再见哦不对永远不见;肿么了
男 在乎别人看法，，，，，，，，，，，，，，;态度是啥
男 慕残，我该怎么办面对自己这种心里，改不掉;可以通过咨询来调整
男 中度抑郁，情绪易激动 我该如何，调整自己？;您说的中度抑郁是医院诊断的吗？有做过什么治疗吗？
女 站12小时，一直走动脚好累呀，临时工真是难受;是不容易，坚持一下
女 我爸不知道是又抽什么疯…………………………;他怎么了，
女 邻居小弟弟最近很频繁来找我聊天，我感到很烦;应该是感觉跟你一起玩游戏很开心吧
家暴时， 隐藏好自己，别被抓到了，会很难受的。;发生什么事情了
男 男 亲戚买辆车，要不要心里纠结，怎么办呢？;亲戚买车，您为什么要纠结？
男 人生过的像一坨Shit怎么办？怎样重新面对一切;刚刚看完您所有的描述，虽然不知道发生了什么事，不过尝试慢慢去改变。
女 感觉自己选择困难	很纠结	很容易被人左右思想;很在乎别人的看法是吗？
女 我毁了我最爱的人，有负罪感，想通过死来解决;有没有更好的选择呢？
男 家庭烦恼，给我带来好大的黑暗？谁能帮到我。;怎么了？家庭烦恼是什么情况？
男 怎样克服恐惧症，求专家解答，我现在很困惑！;你遇到了什么问题
女,我不知道我现在是怎么了？整个人的状态很差，;具体情况是怎样的呢？
女 抑郁症，时好时坏，无心工作，睡不着，怎么办;不去多想就好
男 父亲突然离开人世，自己天天悲痛，走不出困境;多久了？请节哀
男 如何提高情商，不太会和异性聊天。。来个砖家;请问您多大了？具体是怎么不会？
女 我好想死啊，我想死，那样就解脱了，就自由了;你多大了？
女 新手宝妈，婚姻，婆媳，育儿理念，爱胡思乱想;您可以具体说说，都发生了什么吗？
男 十四岁，心里焦虑不安，心慌，失眠，情绪低落;"刚刚看完您所有的描述，
其实失眠通常有两种原因所致：生理因素和心理因素。
生理因素导致的失眠是指由躯体不适、疾病或创伤的疼痛而导致的失眠；
心理因素导致的失眠则是指由心理困惑导致的失眠，如为一些困惑自己的事情烦恼、担心、焦虑。还有失眠的原因是因为担心失眠，对夜晚产生恐惧，甚至对床产生焦虑。
请您通过上面的内容分析自己的失眠可能是由哪种原因导致的？

（1）							用森田疗法治疗心理因素导致的失眠。要对失眠本身有正确的认识，失眠时不去克服，以平静的心态对待失眠，接受失眠，甚至享受失眠，不去想它，不去管它，不把失眠当问题。

（2）							要知道睡眠的规律。睡眠是自然的生理现象，有它自己的一套规律，睡觉时躺在床上闭上眼睛就行了，再睡不着也可以听听音乐，看看书。

（3）							要知道睡眠时间的长短到底对人有什么样的影响。很多时候担心睡不着的重要因素是害怕对明天的工作、学习和对自己的身体健康产生不良影响。经过科学的研究，一个成年人平均每天需要5个小时睡眠时间就够了。这个世界上还从没有哪个人是因为睡眠而死的。

（4）							睡眠最好要有一定的时间规律，工作时工作，该学习时学习，晚上该睡觉时睡觉。"
女 抑郁怎么控制自己情绪不确定是抑郁症没检查过;20岁女生
女 认清了一个现实，我竟如此庸俗！心塞(´-Ωก`);什么事
女 我觉得我人格分裂强迫症抑郁症种事觉得好烦躁;你多大？你的强迫症抑郁症是正规医院确诊的吗
怎么样才能忘掉一个人？爱上一个人容易忘掉就难;时间
女 老公当着孩子们的面，亲我是不是有点放肆呢？;要看怎么亲
男 男19岁M人格 找个女S聊天 求求求求求！！！！！;这里是心理咨询平台，请问您想通过提问得到怎样的帮助？
这里是干什么的呢！！！！啊吧哇咔咔咔嚓！！！;嗯嗯
男 喜欢上了亲戚怎么办？心里特别烦。感觉痛苦中;好感而已
女 我现在非常非常非常非常非常非常非常需要帮助;欢迎点击我的头像购买服务。
女 这几天老是控制自己不住大哭，感觉透不过气来;也是武汉现在压力这么大，我都想哭了
男 如何注册成为给力医生，有没有客服？从哪进入;可以在工作时间联系客服
女,焦虑不安，睡眠半睡半醒，心慌，老是胡思乱想;"刚刚看完您所有的描述，请问您多大了？

发生了什么事后出现这种焦虑不安的感受的？

大约多久了？"
女 同性朋友，刚分手太痛苦了！需要多久才能好啊;太痛了
女 老是幻想自己得抑郁症该有多好这样的话怎么办;我也是
女 这样是否有抑郁症？它这个我看不懂，麻烦了。;我真的感觉生活没有希望。
女 我大学受了很大的刺激，我想忘记两个月的事情;可以通过正式的咨询帮助你化解疏导，欢迎点击我的头像选购正式的咨询套餐详谈。
男 都是骗子，骗人的，大家别上当，几百块打水漂;为什么有这种感觉？
女 心情不好，，，，，，，，，，，，，，，，，;你多大了！是什么原因？
找人说一下烦恼		现在好烦	好难受		想找人倾听一下;平台的老师都是很好的倾听者
男 最近失眠，快五点了，还没有一点困意，，，，;想的事情好多
男 叛逆期没挣脱出去，，，，，，，，，，，，，;叛逆期是帮助自己更好提升的一个时期，也许您可能用的时间比别人要多一些，面临的挑战可能要多一些，只要积极进步一定是可以走出来的。
