Joke;Answer
Les filles c'est comme les noms de domaine.;Celles que j'aime sont déjà prises.
Quelle est la meilleure heure pour écouter de la musique ?;Deezer
Un développeur ne descend pas du métro.;Il libère la RAM...
Où partent les développeurs en vacances ?;Au C-Shell.
Pourquoi les développeurs doivent-ils suivre une formation incendie ? ;A cause des pare-feux.
Qu’est ce qui a 4 pattes et un bras ?;Un pitbull dans un jardin d’enfant !
Ma fille vient de perdre sa première dent…;Ça lui apprendra à me répondre !
Qui court plus vite qu’Usain Bolt ?;Un Somalien avec un ticket restaurant
Pourquoi les alpinistes aiment-ils bien les blondes ?;Parce qu’ils n’ont pas peur du vide !
Tu connais le cri du spermatozoïde ?;Bah la prochaine fois au lieu de l'avaler tu croques.
Pourquoi Napoléon n'a jamais déménagé ?;Parce qu'il avait un Bonaparte.
Quel est le point commun entre un cunnilingus et un lapsus ?;Une erreur de langue et vous êtes vite dans la merde...
Quel super héros donne le plus vite l'heure ?;Speed heure man !
Tu connais la blague de la chaise ?;Elle est pliante
Pourquoi il n'y a pas de ballon à question pour un champion ?;Parce que Julien Lepers
Pourquoi les canards sont-ils toujours à l'heure ?;Parce qu'ils sont dans l'étang
Tu as 4 poussins et tu n'en veux que 3, comment faire ?;Tu en pousses un
Quel est le comble pour un jardinier ?;Se mettre à poil devant ses tomates pour les faire rougir.
Pourquoi il y a une baignoire au dessus des camions de pompiers belges ?;Pour mettre la sirène.
Qu'est ce qu'un chou au milieu de l'océan ?;Un chou marin.
Qu'est ce qu'un légume rigolo ?;Un chou marreur.
Quelle est la différence entre un ascenseur et un vagin ?;Aucune, dans les deux cas tu mets ton doigt où t'habite
Pourquoi le lapin est bleu ?;Parce qu’on l’a peint
Quelle est la mamie qui fait peur aux voleurs ?;Mamie Traillette
Qu'est-ce qu'une blonde avec de l'eau dans la bouche ?;Une cruche
Que fait un chinois sur une mobylette ?;Nèèèèmmmmm, Nèèèèmmmmm, Nèèèèmmmmm
Qu'est ce qu'un squelette dans une armoire ?;Une personne qui a gagné à cache-cache.
Savez vous pourquoi les chinois ne perdent jamais le nord?;Parce qu'ils ont le sudoku.
Avec quel fromage, pouvons-nous nous faire grossir les seins?;Du Boursin.
Qu'est-ce qui est vert et qui nique ?;Véronique.
Comment appelle-t-on un chat tout-terrain ?;Un cat-cat.
Comment appelle-t-on un chien qui a des lunettes ?;Un optichien.
Quel est le comble pour un électricien ?;Ne pas être au courant.
Ce que j’ai en commun avec mon mari ?;On s’est mariés le même jour...
Pourquoi la petite fille est tombée de la balançoire ?;Parce qu'elle n'a pas de bras.
Pourquoi le petit garçon a fait tombé sa glace ?;Parce qu'il s'est fait renverser par un bus ! 
Que fait un DJ djihadiste ?;Il fait péter le son !
Combien faut-il d'hommes pour peindre une voiture en rouge ?;Un seul ! Mais il faut le lancer très fort...
Quels sont les derniers mots de mon grand-père avant son décès ?;Arrête de bouger l'échelle !
A quel endroit se trouvent les tétraplégiques ?;Là où on les a laissés..
Savez-vous comment la femme d'Hitler est morte ?;En se trompant de douche...
C'est quoi le plus dur à mixer dans un groupe de légumes ?;Leurs fauteuils...
Quel est le comble pour une orange ?;Être toujours pressée.
Que dit un canard quand il va aux toilettes ?;Je vais au petit coin.
Que dit un zombie à un autre zombie ?;Alors, ça mord ?
Que fait un hibou dans une casserole ?;Hi-bou
Quel est le comble pour un coq ?;Avoir la chair de poule !
Pourquoi les canards sont toujours à l'heure ?;Car ils sont dans l'étang
Qu'est ce qui est transparent et qui cours dans les champs ?;Un troupeau de vitre
Combien y-a-t-il de somaliens en Somalie ?;Environ 500 grammes
Que fait une fraise sur un cheval ?;Tagada Tagada
Pourquoi les gorilles ont-ils de gros trous de nez ?;Car ils ont de gros doigts.
Quel est le point commun entre les Juifs et les baskets ?;On en trouve plus en 39 qu’en 45.
Que font les blondes quand l’eau du bain de bébé est trop chaude ?;Elles mettent des gants.
Quel est le point commun entre un homme et un chat ?;Les deux ont très peur de l’aspirateur
Comment appelle-t-on un squelette qui parle ?;Un os parleur
Qu'est-ce qui a deux antennes et qui se cogne contre les murs ?;Une petite fille avec deux fourchettes plantées dans les yeux.
C'est l'histoire d'un pingouin qui respirait par les fesses.;Un jour il s'est assis et il est mort.
Qu’est-ce qui court et qui se jette ?;Une courgette
Un œuf attend un autre œuf;Si dans 5 minutes, il n’est pas là, j’me casse !
C’est l’histoire d’un schtroumpf qui tombe;Et qui se fait un bleu…
Qu’est-ce qui est jaune et qui attend ?;Jonathan
Quel fruit le poisson déteste-il le plus ?;La pêche
Melon et Melèche jouent au Scrabble.;Melon pioche le W et Melèche le Q.
Quelle est la plus intelligente : la blonde, la rousse ou la brune ?;La rousse parce que c'est un dictionnaire.
Que fait un homme qui rentre dans un café ?;Plouf
Pourquoi un homme rentre-t-il dans un bar ?;Parce qu'il est zoophile.
Pourquoi Harry Potter chuchote ?;Parce que Dumbledore…
Qu’est-ce qu’un éléphant dit à un homme tout nu ?;Et tu arrives à attraper des cacahuètes avec ça ?
Qu'est-ce qui est transparent et qui sent la banane ?;Un pet de singe
Pourquoi Robinson Crusoé ? ;Parce que Zoé avait raison
Qu'est-ce qui est jaune, orange, rouge et qui tourne très vite !;Un poussin dans un mixeur.
Comment appelle-t-on un nain qui travaille à la Poste ?;Un nain posteur…
Que dit un citron quand il braque une banque ?;Pas un zeste !
Quel dinosaure peut aller au micro-ondes ?;Le Pyrex
Quel est le point commun entre un homme et un chat ?;Les deux ont très peur de l’aspirateur
Ce que j’ai en commun avec mon mari ?;On s’est mariés le même jour...
Connaissez-vous l'histoire du lit escamotable ?;C'est une histoire à faire dormir debout !
Quand Hitler s’est-il suicidé ?;Après avoir reçu sa facture de gaz…
Qu'est ce qu'un lampadaire ?;une lampe avec une seule bosse
Quelle est la différence entre un divorce et la grammaire ?;En grammaire, c’est le masculin qui l’emporte.
Quelle est la différence entre un chewing-gum et un avion ?;Le chewing-gum colle et l’avion décolle.
Qu’est ce qu’un bossu sans bras et sans jambe ?;Une madeleine
Pourquoi les imprimantes n'aiment pas aller à la piscine?;Parce qu'elles n'ont papier
Quel est le point commun entre un déménageur et un arbitre de football?;Ils aiment tous les deux sortir des cartons
Donald Duck et Daffy Duck se bagarrent. Qu'est ce que ca fait?;Un conflit de canard
Quel est le comble du comble?;Qu’un muet dise à un sourd qu’un aveugle les regarde
Maman, j’ai peur du noir;Ne t’inquiète pas il est bien attaché
Que font les dinausaures quand ils ne sont pas d'accord ?;Un tirageausaure
L'école et l'alcool riment, vous savez pourquoi ?;Car les deux saoulent
Quel est le point commun entre un surdoué et un pédophile ?;Il ont tous les deux sauté la classe de CE1
Comment est-ce que les abeilles communiquent entre elles ?;Par e-miel.
Quel est l'animal le plus connecté ?;Le porc USB.
Qu’elle est le point commun entre un ado qui s’ennuie en cours et une pute qui se gratte ?;Le morpion.
Quel est le point commun entre un gynécologue myope et un chien en bonne santé ?;Ils ont tous les deux le nez mouillé.
Quel est le point commun entre un motard célibataire et sa moto ?;Ils dorment tous les deux sur la béquille.
Quelle est la différence entre un zèbre et un barman ?;Le zèbre a des barres autour de son trou du cul. Le barman a des trous du cul autour de son bar.
Un mathématicien n’urine pas.;Il fait π π.
Qu'est-ce qu'un Parafaitpasdebruit ?;Un parachute.
Il y a un boucher qui mesure 1 mètre 80, mais combien pèse-t-il ?;La viande, parce que les bouchers pèsent la viande.
Un jour, Dieu dit à Casto de ramer.;Et depuis, Castorama...
Pourquoi un chasseur emmène-t-il son fusil aux toilettes ?;Pour tirer la chasse.
Vous connaissez l'histoire de l'armoire ?;Elle n'est pas commode...
Pourquoi les Martiens ne renversent-ils jamais de café sur la table ?;Parce qu'ils ont des soucoupes !
C'est l'histoire du nain aux 26 enfants.;Elle est courte mais elle est bonne.
C'est l'histoire du p'tit dej', vous la connaissez ?;Non, pas de bol...
"Dans la phrase ""le voleur a volé une télévision"", où est le sujet ?";En prison !
C'est l'histoire d'un poil. Avant, il était bien.;Maintenant, il est pubien.
Comment appelle-t-on un chien qui n'a pas de pattes ?;On ne l'appelle pas, on va le chercher...
Que fait une vache quand elle a les yeux fermés ?;Elle fabrique du lait concentré !
Quelle est la différence entre une femme et un dobermann ?;Le prix du collier.
Pourquoi cendrillon est-elle morte à minuit ?;Parce que son tampon s'est transformé en citrouille !
L'amour, c'est comme les cartes :;Quand on n'a pas de partenaires, mieux vaut avoir une bonne main.
Quel est le point commun entre un sourd et un gynécologue ?;Les deux savent lire sur les lèvres.
À quel moment la poule a-t-elle le plus mal au cul ?;Quand elle passe du coq à l'âne
C'est une femme qui prend son bain, son chien pète elle se noie pourquoi ?;Parce que son chien c'est un Pékinois.
Savez-vous pourquoi le père Noël rit tout le temps ?;Parce que ce n'est pas lui qui paye les cadeaux !
Tu connais la blague du photographe ?;Elle n'est pas encore développée !
Qu'est-ce qui est jaune et qui court vite ?;Un citron pressé.
Le viagra c'est comme l'enfer,;Satan l'habite.
Comment est ce qu'on appelle un boomerang qui ne revient pas ?;Un chat mort.
Quelle est la dernière chose que Lady Dianna ai mangée ?;Le volant
Qu'est-ce que ça fait quand tu lances une gousse d'ail contre un mur ?;Le retour du jet d'ail.
Qu'est ce qui est pire qu'un bébé dans une poubelle ?;Un bébé dans deux poubelles.
